num_evaluations,best
404,24123915838.93007
505,19561020031.733273
707,18357564481.208103
909,17831253570.892868
1111,17575576813.476486
1313,17476307364.557808
1414,17386653052.573925
1515,17333839682.945473
1616,17278873145.58712
1717,17257132224.15333
1818,17235733276.2696
1919,17216213436.513885
2020,17204184205.552036
2121,17192643968.527817
2222,17181488033.809593
2323,17169764727.258972
2424,17158415545.073702
2525,17150871444.689964
2626,17141855165.708939
2828,17137294413.427265
2929,17132562969.461576
3030,17127446707.688925
3131,17121829778.514898
3232,17116892485.650387
3333,17111783502.370384
3434,17106355310.311874
3535,17100783198.251932
3636,17094205322.104834
3737,17086393193.88737
3838,17077353359.254822
3939,17066066162.366318
4040,17050122494.181812
4141,17032469989.474258
4242,17009436015.759804
4343,16974532392.705261
4444,16918896534.867107
4545,16843718777.468006
4646,16764034553.928488
4747,16635420967.174667
4848,16446953607.789705
4949,16149684080.13893
5050,15673911917.768894
5151,15059773444.312317
5252,14381723186.614487
5353,13497836380.976866
5454,12138852479.135859
5555,10559592421.94316
5656,9093512484.03235
5757,7189375610.390396
5858,5775187374.882065
5959,4934609914.316205
6060,3928722959.82479
6161,3240681635.193702
6262,2922262094.9193535
6363,2591055524.334644
6464,2495001693.262992
6565,2359169046.867628
6666,2294427584.7879314
6767,2215934097.6052628
6868,2150164227.001916
6969,2086255864.8234243
7070,2029072798.2286944
7171,1958838705.8746357
7272,1880607560.7241879
7373,1782233070.1520019
7474,1696515608.8263652
7575,1590168499.865203
7676,1471131019.9879751
7777,1295457755.6610281
7878,1097492193.920812
7979,831604707.26274
8080,592237595.4273293
8181,481023472.16583663
8282,379569792.01980263
8383,314802352.92103946
8484,242948289.09091774
8585,174653867.96524808
8686,158535688.77769855
8787,134634607.73339003
8888,115363660.39595257
8989,91050128.18444067
9090,71822443.6362861
9191,52285844.43711723
9292,28822644.450648353
9393,21227012.77948756
9494,12748077.464852119
9696,10018184.513437593
9797,6343643.553832793
9898,5857169.316393311
9999,4998560.845083048
10100,3531791.1419628756
10201,2069787.7300311245
10302,1574788.461882877
10403,973781.8986375143
10504,357275.8206096302
10706,103326.48371158117
10908,30010.040470751985
11110,6677.437038305738
11312,2194.4353194434843
11514,534.8479944819397
11716,154.19003311420698
11918,13.785330374424502
12120,1.7267933298140383
12322,0.19213283268790748
12423,0.012751851733764067
12625,0.002409955552354188
12726,0.00036134251028105673
12827,0.0002984258843354492
12928,0.00018527978567482408
13029,2.7401687941341223e-05
13130,2.9276437308221218e-08
13231,1.8855873494248124e-09
13332,4.261808660045935e-10
