evaluations,best
0,3571686580.5128174
1,291689562.0479827
2,248255693.6538203
3,169380942.83233622
4,127711534.69454244
5,75173464.07721101
6,69826206.78395733
7,51906906.97756896
8,47804518.63324833
9,39181395.055147305
10,31395515.317933407
11,19125945.208641592
12,17395767.951213885
13,12467538.036682665
14,11392800.330663955
15,11120635.633078882
16,10390119.159879824
17,8594440.758156842
18,7393645.875855636
19,5836732.1186160175
20,5430333.018594294
21,4858271.035559056
22,3761946.4362567016
23,3313640.698366596
24,3204515.660830963
25,3050521.8115891796
26,2962569.442316779
27,2852584.9420376015
28,2608929.941923224
29,2475817.381964652
30,2187868.3523383494
31,1924760.1577245016
32,1767853.415641451
33,1628442.6334448915
34,1482870.4645034291
35,1429735.3219199667
36,1420914.4563675663
37,1383900.4199321459
38,1368409.1441465523
39,1321515.0070378573
40,1276185.4997469902
41,1249089.452861946
42,1198221.9513667086
43,1167269.8737503483
44,1134032.1986433652
45,1068115.3490142883
46,1029323.4958875616
47,966862.4999434126
48,916329.2106894262
49,878781.4965940694
50,863674.3097599089
51,846115.6793697722
52,832358.2490830617
53,824485.4558103514
54,808356.4148498912
55,786663.8431803401
56,754094.9418328509
57,720670.9144418167
58,704779.5919013661
59,687295.2880417785
60,659201.0627493908
61,630619.030060859
62,601140.1104254706
63,590808.2401548921
64,584610.2635866632
65,571248.6756031703
66,558025.2527403648
67,545206.9633782041
68,535791.172503777
69,522299.89958196686
70,515743.5744082306
71,498431.06844537467
72,485500.5400598288
73,473216.3858842408
74,464071.44901849935
75,451001.56089078385
76,415369.49528086546
77,365511.41316841036
78,351221.6722018504
79,294935.7677958884
80,268007.6614441441
81,261438.08327795914
82,254430.73867606127
83,250937.06746528114
84,243060.56401419282
85,234857.8792644224
86,228490.85382418366
87,224405.409932002
88,221776.57053308553
89,219402.02367946366
90,217274.88119042406
91,215270.76640511877
92,213243.20645537562
93,206723.02775755257
94,201615.51789896048
95,197850.21076824793
96,180643.45724040258
97,170024.95837977147
98,159959.04684778283
99,154734.17636212343
100,150927.13099402006
101,149178.65757085083
102,145826.03723310985
103,140826.14201557823
104,139531.63627399335
105,136421.72254123827
106,135091.91157699033
107,134183.32335187614
108,132836.04585990697
109,130796.84807830128
110,127779.4230355235
111,125285.75983583771
112,124355.77213644187
113,122538.62625347827
114,121939.5481357341
115,120660.39822054695
116,119734.88938483025
117,116374.27733556951
118,114321.33121811211
119,110906.67353912242
120,107471.6483151648
121,105237.94792503036
122,102980.30167942865
123,100775.6878135971
124,99564.70006926404
125,98672.59116455082
126,98449.26744712211
127,98047.2609769516
128,97649.10072574341
129,97217.12661797408
130,96555.63905759856
131,95160.78850558105
132,93460.90256546486
133,91425.61507699646
134,90421.806871736
135,89430.73750837219
136,89149.83132775883
137,88452.4280820931
138,87477.63194004227
139,86042.17144671286
140,83322.99616658242
141,81601.75932460956
142,79976.12307969929
143,79058.18261187332
144,78778.58319697568
145,78340.12867629749
146,78187.3087173409
147,77643.56424303245
148,76769.23394798384
149,75573.7517403646
150,74598.03381185792
151,73481.1764123618
152,72250.75369234174
153,71415.38102253209
154,69438.63293687138
155,67173.753614746
156,66903.37682723983
157,64448.785771149094
158,63999.96953860074
159,63726.05536937298
160,63343.13143476523
161,62934.66562358947
162,62665.22481874778
163,62537.7647425496
164,62241.72329504946
165,62072.95545208279
166,61920.44603104715
167,61740.39116556314
168,61482.12380388375
169,61421.65027301424
170,60822.98297909039
171,60550.844732226484
172,60429.87241322091
173,60321.296898426735
174,60233.726821936325
175,60186.59522052829
176,60101.672857274876
177,59926.47710632718
178,59455.545619666635
179,59307.61796068018
180,59041.8357415209
181,58892.625683995306
182,58846.311047755575
183,58776.497485684835
184,58507.075527432666
185,58068.40508424867
186,57694.48185230378
187,57077.316813072146
188,56631.23112444905
189,56405.42882839207
190,55799.76017153391
191,54998.6243355794
192,54877.58301847546
193,54162.14892971636
194,54074.92118413471
195,53949.139714579826
196,53855.30367044881
197,53711.07873737828
198,53543.9048891473
199,53405.012642950285
200,53225.44178390096
201,53022.405435229186
202,52823.924373581816
203,52414.06259131872
204,51606.2259581467
205,51358.927228624285
206,50379.67328675358
207,49620.461363186034
208,49234.800239780896
209,48854.33468168243
210,48523.26906438709
211,47979.74849138851
212,47401.93515070551
213,47196.249708489864
214,46657.72334377749
215,46437.407767784876
216,46258.54346878353
217,45953.12304635598
218,45380.77168982433
219,44505.22060963836
220,43604.97774035821
221,42960.49517737489
222,42532.96019204646
223,42068.0483266145
224,41388.24056617886
225,40839.45032770079
226,40726.71053725581
227,40487.05642147563
228,40132.425265964695
229,39206.88548814029
230,38475.53020149069
231,38251.65190044085
232,37758.51782685045
233,37259.49874424108
234,36581.444336540415
235,35945.22982227751
236,35356.29457562366
237,35188.86675943468
238,35130.280000034574
239,35096.326960558785
240,34688.429134079066
241,33735.77473761851
242,33484.695580951324
243,32553.056369514634
244,32258.196782039504
245,32060.024336472492
246,31641.3156427912
247,31061.595670982646
248,30309.169915600673
249,29800.81541250963
250,29674.969314859496
251,29525.397258115743
252,29444.16038375946
253,29223.540544904045
254,29049.951323566573
255,28776.76656348777
256,28345.538998889228
257,27877.450227307792
258,25862.487715471438
259,24149.089574864916
260,23733.75967730805
261,22541.21705604337
262,22425.37812957112
263,22364.85243178223
264,22319.208652126
265,22272.353338178684
266,22213.92279867459
267,22080.21276308759
268,21870.4695519824
269,21508.55766628689
270,21052.50289189263
271,20336.782570314368
272,20327.56837049064
273,20254.388350465084
274,20215.969101502717
275,20134.5706167698
276,20110.8700364549
277,20052.37127218873
278,19956.67511666863
279,19794.172259526946
280,19553.09847909054
281,19091.503439395583
282,18971.262519448195
283,18460.02788733999
284,18057.474149734866
285,17837.69709338619
286,17741.077391506537
287,17577.878412750997
288,17364.095933519682
289,17238.30547732759
290,17131.663409151344
291,17029.44183290289
292,16873.175550517393
293,16626.214020703865
294,16247.012760358282
295,16114.478762085811
296,15816.28344075559
297,15518.227417516526
298,15388.703714639032
299,15085.483697741616
300,14997.345607666037
301,14677.708571154424
302,14481.855252308604
303,14373.396104695285
304,14297.508034797504
305,14213.312880625552
306,14135.773919450294
307,14052.93775997489
308,13992.45704787013
309,13979.297021703032
310,13955.38261748725
311,13943.571539309898
312,13932.356084005749
313,13923.220748391836
314,13900.169029161445
315,13862.33206018422
316,13839.742513982594
317,13817.428072957891
318,13768.91392379925
319,13715.859099620024
320,13645.031146336023
321,13639.6623810192
322,13618.793105964849
323,13615.138012345273
324,13607.244996454641
325,13596.021607197083
326,13585.849867863823
327,13557.924964585141
328,13508.054628496286
329,13471.502180056217
330,13440.953083365097
331,13401.334804438467
332,13370.127543406674
333,13322.401328255768
334,13273.39381176287
335,13239.588721789589
336,13194.196614799275
337,13135.29468789754
338,13090.033505464966
339,13042.260844240358
340,13010.505842299686
341,12938.609350945204
342,12875.512372096397
343,12785.46801729617
344,12723.538614042629
345,12618.775250436625
346,12568.222452915008
347,12473.959441892757
348,12346.41847334691
349,12075.404329553829
350,11811.961446710988
351,11762.892550254734
352,11581.704132774865
353,11563.846086202242
354,11549.767464741934
355,11481.41843683796
356,11357.8507006208
357,11205.179493621139
358,10987.107075836097
359,10853.789898023233
360,10732.393141006178
361,10669.846775095686
362,10632.237894471784
363,10533.846707907414
364,10500.343448656471
365,10450.023279097182
366,10385.438372568131
367,10348.842459861648
368,10309.886100517544
369,10259.75909444112
370,10183.483105350819
371,10111.46620211702
372,9899.000914784907
373,9749.631691109014
374,9583.496071707186
375,9505.244826248147
376,9437.619690056672
377,9378.11254417892
378,9322.482825312212
379,9268.298515827322
380,9230.585079121129
381,9176.232329669421
382,9134.139174119859
383,9099.012017303057
384,9058.22349595193
385,9049.829988693802
386,9035.518973760254
387,9007.238345075146
388,8975.682877784926
389,8924.283224787452
390,8891.541417534983
391,8862.324826783994
392,8851.14057803693
393,8847.52374893299
394,8840.65020105283
395,8818.318132475604
396,8786.2721186962
397,8752.2930879967
398,8709.74882518184
399,8676.003823167395
400,8659.672141421855
401,8639.966549662902
402,8635.424021434985
403,8619.959962373005
404,8616.075790686114
405,8608.448619461722
406,8605.229515779954
407,8593.10692865935
408,8580.496267678933
409,8569.334781524834
410,8552.529266099
411,8517.394350148652
412,8486.710714541106
413,8456.344096524512
414,8411.913382357163
415,8395.263598148074
416,8382.304384350859
417,8336.853261029866
418,8308.925982000881
419,8266.703272135994
420,8206.22682030168
421,8108.208561563733
422,7894.055960234697
423,7880.228145996359
424,7812.436277678429
425,7806.848107203442
426,7800.395024969258
427,7784.249105067227
428,7776.881021600883
429,7770.490945128929
430,7767.710958883249
431,7764.758841071229
432,7754.546568924134
433,7740.466054297806
434,7708.216903640134
435,7662.2893593316585
436,7624.779939013596
437,7568.918074086922
438,7563.21338709241
439,7552.713946493516
440,7545.3022124430445
441,7537.971278870797
442,7526.229268483224
443,7522.108560499593
444,7514.256867823148
445,7490.98548711233
446,7463.542318104573
447,7416.47191165125
448,7369.843626550078
449,7297.92926555836
450,7140.725043479865
451,7118.831430311692
452,6869.561468179089
453,6775.52341793516
454,6691.326375038846
455,6573.917681393605
456,6493.4474783385685
457,6441.52385432326
458,6421.080950270042
459,6406.1105530280165
460,6385.4594240803535
461,6344.809815287594
462,6281.676169199603
463,6268.292749668502
464,6240.579961586432
465,6237.025404742955
466,6229.377553279638
467,6227.652419048049
468,6223.096952887833
469,6218.1485718086105
470,6215.56182615346
471,6209.010404108306
472,6201.039366889671
473,6183.5185170039285
474,6163.444426253245
475,6156.135976431451
476,6134.1455355009575
477,6123.067288061512
478,6116.333288033565
479,6112.568943526279
480,6106.778009773951
481,6104.709451054069
482,6102.973193314292
483,6099.224515319565
484,6087.570911292874
485,6073.676684192755
486,6055.915519843422
487,6034.545545507032
488,6027.665808084901
489,6010.139524615921
490,5980.006013389194
491,5926.008701165632
492,5876.451792970328
493,5834.710116010116
494,5802.2011827655515
495,5770.391721982305
496,5708.60072602429
497,5701.322701419912
498,5656.790761268589
499,5645.745210996362
500,5614.81969148405
501,5556.564776706264
502,5460.00688067215
503,5441.325173867915
504,5331.930763741858
505,5310.631699576001
506,5288.27016382247
507,5251.798872480079
508,5228.968582218413
509,5224.208062023897
510,5210.587019942751
511,5204.572313035319
512,5189.002772981327
513,5165.505281534961
514,5134.659318217313
515,5109.220895161546
516,5096.400470994784
517,5084.945380837842
518,5071.157986204906
519,5057.163939460815
520,5028.204776811621
521,4982.4688688592305
522,4926.759576451428
523,4889.293089384078
524,4857.842346127501
525,4852.001407227175
526,4846.822702372961
527,4840.703199979482
528,4837.956225192186
529,4825.731690919667
530,4817.54871279314
531,4807.307819952826
532,4794.981820221663
533,4785.772588760989
534,4773.844930308133
535,4756.442530058976
536,4731.864830904145
537,4705.517942721245
538,4671.172004057519
539,4648.999304896943
540,4589.514327330729
541,4525.493853840453
542,4488.028246700982
543,4481.8836326959
544,4456.104317599667
545,4449.728357782398
546,4437.210481144722
547,4421.996711099927
548,4410.513349633929
549,4396.397509772415
550,4385.657151147364
551,4368.869203751632
552,4332.439886179385
553,4282.4090894967185
554,4257.7418117064235
555,4237.859738907843
556,4228.366599743214
557,4221.637382809018
558,4199.595584091623
559,4156.855198868243
560,4075.3413992658798
561,3983.236120774273
562,3893.4877398973417
563,3831.031838845793
564,3807.983146953808
565,3734.0010964008757
566,3708.830098544615
567,3645.0152179166666
568,3625.5474471667126
569,3609.468458485158
570,3589.1536078931435
571,3557.5453314513757
572,3542.88588614916
573,3523.691757873216
574,3511.311947232422
575,3495.172954698987
576,3459.3067925613527
577,3392.4701221644673
578,3367.887245732684
579,3315.8645040107294
580,3289.903850949067
581,3278.887212450102
582,3263.5438861475345
583,3244.9656133762605
584,3236.228981076085
585,3219.021662574192
586,3210.6222117961092
587,3199.1175780148974
588,3187.6669307771745
589,3172.150407374843
590,3166.7491908299935
591,3157.085879316968
592,3150.847056523979
593,3134.6421315315956
594,3117.093405781694
595,3092.7249988932085
596,3083.298193488572
597,3063.1843072448282
598,3044.5357938402035
599,3026.9443481944504
600,3006.237566248073
601,2987.1289174128647
602,2981.2235843135813
603,2975.755272859907
604,2966.6902173912226
605,2948.566032287786
606,2911.472539397405
607,2865.547800594079
608,2817.3998383762196
609,2780.3939396259616
610,2756.175536692726
611,2744.871038455349
612,2727.1585985740335
613,2715.1924294273567
614,2704.749391077162
615,2693.7682470188715
616,2684.7670365297354
617,2675.4694007185967
618,2666.199360459264
