evaluations,best
0,4397444342.96569
1,4256334861.805112
2,4213899835.362497
3,4195771027.825489
4,4188435992.5378356
5,4185356588.2527823
6,4180809664.078127
7,4174109470.1108847
8,4171471828.2458196
9,4166962851.9592657
10,4158948076.81882
11,3868781125.701593
12,3326333288.114388
13,2438896758.796261
14,2281755994.151906
15,2148536742.0721927
16,1911811925.5305295
17,1479054903.6361227
18,950070596.3262898
19,233630745.28045037
20,70503207.9304454
21,18775354.95672149
22,3686574.5629174197
23,85640.46761091983
24,616.646346548565
25,4.191033275770302
26,0.00021715553995768817
27,1.0742154167625302e-10
