evaluations,best
0,16477387060.259659
1,16145506465.327679
2,15508659776.730585
3,14269776010.31675
4,13020577025.650318
5,10213029517.986042
6,9135924656.070505
7,8751609472.560272
8,8629927770.56798
9,8454421219.630472
10,8372872806.520093
11,8307701407.4292145
12,8247314237.135821
13,8237966083.952272
14,8223645368.533342
15,8206202710.569279
16,8197301578.230184
17,8188120890.0092325
18,8184351166.455757
19,8178875217.458242
20,8174861703.983285
21,8172537847.520281
22,8169110885.836198
23,8163538069.941883
24,8157719116.760364
25,8148496302.423382
26,8131533479.860596
27,8099532011.004445
28,8038877056.227614
29,7923163631.342014
30,7703329118.638577
31,7286002485.051858
32,6537339832.758004
33,5500247827.058206
34,5104739676.001441
35,4682711038.478411
36,4495119508.122236
37,4405068777.364726
38,4275383472.2526855
39,4101313853.6558223
40,3827529207.4114227
41,3351522246.583682
42,2622942707.686721
43,1678632689.4621568
44,1198778280.9682798
45,847166641.6015176
46,697391018.0214403
47,572886384.6751785
48,369622882.9740753
49,174707526.3367478
50,105429823.64973766
51,94467852.82767884
52,74560542.53969246
53,42149294.08606754
54,16784416.031417202
55,12989374.657807007
56,7352027.893289961
57,747016.933365922
58,189723.74433281418
59,25550.151963613785
60,532.2709447267597
61,11.954923846854655
62,1.6212759635644234
63,0.3904339799594714
64,0.0014107096895390834
65,1.0534446241457717e-05
66,1.5505434618050882e-09
67,2.254573058224491e-10
68,2.2490032001656295e-10
69,2.2490032001656295e-10
