num_evaluations,best
55,32784272718.1685
77,26416244639.988335
99,25736607705.496845
121,25571155778.86116
154,19034432930.53772
176,19034370317.264988
275,9821876404.411669
297,7397573650.20124
319,7162979515.190358
341,4989878131.386451
363,4986658850.183305
418,3016506004.4217205
440,3016499906.698139
539,2037059536.3388228
550,558120954.3717849
561,205606340.35131186
572,58411672.990024254
583,619411.2542493133
594,7423.509198345742
605,103.74426530380856
616,100.07125826019683
627,100.00524163093333
638,100.00001091176125
649,100.00000844453332
660,100.00000840935618
