num_evaluations,best
40,81622603068.7453
84,65213922436.434616
95,46393473393.343346
117,43662521123.185936
139,43610195365.790306
161,43609338199.77233
183,43609213948.619
216,43604425872.147995
282,31872569524.708927
293,18233928772.615746
315,18233809608.42829
403,13354614212.370277
414,5319966427.923778
425,244645134.7083332
447,10279283.520666772
458,2155.146424038511
469,130.1881459166595
480,110.55303462860121
491,100.00027182149815
502,100.00000853567853
513,100.0000084119591
524,100.00000841142936
535,100.00000841142935
