num_evaluations,best
44,83842931687.45882
55,11811413129.619873
66,1500463024.1367939
77,13918171.194276249
88,57475.641564408594
99,21917.99854280876
110,21910.554088505633
121,21910.525003786235
132,21910.467772290536
143,21910.282067086177
154,21909.839799774443
165,21908.647169015578
176,21905.56947701684
187,21897.48027958032
198,21876.36500048326
209,21821.171317151202
220,21677.53358605507
231,21307.221832345433
242,20374.59164555504
253,18166.73891949332
264,13680.624237213498
275,9409.681468367264
286,3388.626790309367
297,720.2497984662244
308,100.07424690787222
319,100.00022889068529
330,100.0000117727204
341,100.00000527883387
352,100.00000392783973
363,100.00000378051075
