num_evaluations,best
44,99751865291.21426
55,75774396430.765
77,75765426829.19284
121,74319070987.24931
143,60479258121.50461
165,60478644571.84207
253,36563426455.10389
275,34100232198.07476
297,33543872428.94241
330,14096091488.630028
352,14095985695.521769
440,9816801486.315975
462,9744301846.67273
495,6913490470.914747
506,2410258019.5848355
517,446728071.61170113
528,320059062.71794
539,115491521.95544192
550,57271.50020660102
561,1004.003147152076
572,148.24239817048343
583,100.02463056779418
594,100.00002050381454
605,100.00000844618972
616,100.00000841176058
627,100.00000841152574
