num_evaluations,best
40,66267256309.84161
84,55208151531.63256
95,40282972068.01115
117,36105362303.016846
139,36034671217.34318
161,36034066594.54684
183,36033974643.47681
227,36021283509.84631
271,34140192250.09303
293,17965097621.572777
315,17941901947.09217
359,14182758414.457264
370,7669188630.899753
381,1570836303.2432222
392,1044240003.3593942
403,255082036.55862743
414,98460.66825165937
425,414.6490658716641
436,143.44269255472494
447,100.0000129782857
458,100.00000841974646
469,100.00000841352143
502,100.00000841186188
