num_evaluations,best
44,105887408876.82646
55,14578037160.16181
66,5296113006.005697
77,229849360.83048728
88,50275165.61131909
99,2023.8947428185936
110,1842.2921784240873
121,1840.894223989864
132,1840.8912294460038
143,1840.8853576497525
154,1840.8737294081907
165,1840.8392665985211
176,1840.7530331287735
187,1840.5233019008642
198,1839.92602251722
209,1838.3595703412302
220,1834.2707797277728
231,1823.6207970816538
242,1796.1290861704688
253,1726.7252535051703
264,1561.6921560006676
275,1284.6497017437423
286,848.939621610825
297,385.8055597867397
308,108.45140755127659
330,100.26238800898255
341,100.00240093308666
352,100.00055089388474
374,100.00002236635432
385,100.00000385962004
396,100.00000378910096
