,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
303,,,,,,,,,,,,,
400,,29447309703.112823,29447309703.112823,,,,,,,,,,
404,22164577334.541103,,,,,,,,,,,,
505,19930466102.12752,,,,,,,,,,,,
606,19365224352.18637,,,,,,,,,,,,
703,,28774341952.9699,23704947721.368217,,,,,,,,,,
707,19292964675.524654,,,,,,,,,,,,
800,,28558903432.297066,21794576782.49122,28558903432.297066,,,,,,,,,
804,,28546292872.396797,21715798599.44474,28486193159.75911,,,,,,,,,
808,19182667716.479446,,,,,,,,,,,,
905,,28227876234.91476,19507639504.989853,26650258778.175697,,,,,,,,,
909,19118071246.110207,,,,,,,,,,,,
1006,,27909459597.432716,18951908350.395027,24814324396.592285,,,,,,,,,
1010,19097449701.02844,,,,,,,,,,,,
1103,,27603653519.850964,18874714257.538742,23051100287.54682,,,,,,,,,
1107,,27591042959.950672,18871530995.977654,22975485651.340572,,,,,,,,,
1111,19087000031.31773,,,,,,,,,,,,
1200,,27297847442.269196,18780096047.482162,21217445359.545326,,,,,,,,,
1204,,27276408736.230274,18776163361.52537,21141830723.339077,,,,,,,,,
1208,,27254970030.19135,18772230675.568573,21054947923.515205,,,,,,,,,
1212,19044136516.34233,,,,,,,,,,,,
1305,,26735081408.74738,18715635440.324512,18948040027.78643,,,,,,,,,
1309,,26713642702.708447,18713301616.190735,18926035350.205482,,,,,,,,,
1313,18942711179.066525,,,,,,,,,,,,
1406,,26193754081.264473,18693519127.16466,18392421918.86738,,,,,,,,,
1410,,26172315375.225548,18692703354.42131,18389063811.05193,,,,,,,,,
1414,18684791095.92583,,,,,,,,,,,,
1507,,25652426753.78158,18681686663.15158,18307629696.527176,,,,,,,,,
1511,,25630988047.742657,18681232366.604374,18303808616.77382,,,,,,,,,
1515,18221052950.272503,,,,,,,,,,,,
1600,,25153976838.37654,18641607143.15319,18218789592.26155,,,,,,,,,
1608,,25086803610.446854,18638045325.31489,18211147432.754833,,,,,,,,,
1612,,25053216996.482018,18636264416.395737,18208779736.359085,,,,,,,,,
1616,17109005671.593628,,,,,,,,,,,,
1709,,24238741607.83459,18530267604.123234,18151363098.762302,,,,,,,,,
1713,,24205154993.869747,18525896601.5553,18150499245.176136,,,,,,,,,
1717,15152090255.870878,,,,,,,,,,,,
1810,,23390679605.222313,18318416288.39729,18129550795.711666,,,,,,,,,
1814,,23357092991.25748,18309860399.194897,18129069208.157154,,,,,,,,,
1818,12635759302.405088,,,,,,,,,,,,
1911,,22542617602.61005,17728385397.812283,18117390709.96008,,,,,,,,,
1915,,22509030988.64521,17704407047.239803,18115866533.879757,,,,,,,,,
1919,10366434011.040586,,,,,,,,,,,,
2000,,21795315441.892307,16808054748.010796,18083477792.1731,,,,,,,,,
2012,,21654470529.379677,16681510894.001995,18078905263.932167,,,,,,,,,
2016,,21607522225.20879,16639329609.332392,18070520763.259174,,,,,,,,,
2020,9005222091.62808,,,,,,,,,,,,
2113,,20469025849.065006,15163577614.531294,17867196621.939278,,,,,,,,,
2117,,20422077544.894127,15102721862.168354,17854168556.51035,,,,,,,,,
2121,7356383424.877488,,,,,,,,,,,,
2214,,19283581168.750328,12507244745.070765,17538237969.8587,,,,,,,,,
2218,,19236632864.579453,12400214760.860552,17519323127.580936,,,,,,,,,
2222,5454561807.921282,,,,,,,,,,,,
2315,,18098136488.435665,10500019541.75094,17060638202.345112,,,,,,,,,
2319,,18051188184.264793,10421660976.01446,17019142658.872253,,,,,,,,,
2323,3586361113.5422163,,,,,,,,,,,,
2400,,17100485024.804506,9450520022.74736,16178857903.546925,,,,,,,,,
2416,,16858181642.408081,9258689710.990898,16012875729.65551,,,,,,,,,
2420,,16797605796.808971,9210732133.051783,15940722248.480995,,,,,,,,,
2424,2235103224.0621123,,,,,,,,,,,,
2517,,15328641541.030611,7603380257.839677,14191000329.999199,,,,,,,,,
2521,,15268065695.431507,7537097706.284538,14095162454.940767,,,,,,,,,
2525,1462970560.0363314,,,,,,,,,,,,
2618,,13799101439.65314,5810183073.084469,11771093984.773682,,,,,,,,,
2622,,13738525594.054033,5738970098.519515,11692817435.13754,,,,,,,,,
2626,860472924.5260282,,,,,,,,,,,,
2719,,12269561338.275677,4276957825.611892,9794611106.461185,,,,,,,,,
2723,,12208985492.676567,4216668659.718794,9751734579.81382,,,,,,,,,
2727,441246196.6062858,,,,,,,,,,,,
2800,,11042900464.893745,3180578374.442671,8926361441.852137,11042900464.893745,,,,,,,,
2820,,10740713337.676245,2911464014.6306915,8711978808.615335,11001937944.281914,,,,,,,,
2824,,10680275912.232744,2857641142.6682954,8653821647.40591,10993745440.159548,,,,,,,,
2828,195815919.32136622,,,,,,,,,,,,
2921,,9214668345.227863,1785688776.0803444,7243510488.077354,10795077215.192175,,,,,,,,
