num_evaluations,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
22,,,,,,,,,,,,,
33,,,,,,,,,,,,,
40,,10004.49878353571,10004.49878353571,,,,,,,,,,
44,7203.685945808289,,,,,,,,,,,,
55,3212.6975271283677,,,,,,,,,,,,
66,1404.0246560975063,,,,,,,,,,,,
73,,9738.281689881669,7891.755010442882,,,,,,,,,,
77,966.8401074230059,,,,,,,,,,,,
80,,9681.811397288391,7350.1010964916,9681.811397288391,,,,,,,,,
84,,9630.246031722838,7040.584574233728,9436.47210925225,,,,,,,,,
88,803.2178514468319,,,,,,,,,,,,
95,,9488.441276417563,3143.1840133003593,8761.789067152862,,,,,,,,,
99,737.683928296656,,,,,,,,,,,,
102,,9398.201886677842,2047.635777614859,8332.445313089618,,,,,,,,,
106,,9346.636521112288,1421.6082143660024,8086.0338936366725,,,,,,,,,
110,703.7655012212745,,,,,,,,,,,,
113,,9256.397131372572,1141.2468409904939,7654.813909594004,,,,,,,,,
117,,9204.831765807012,981.0403419187746,7361.302254854293,,,,,,,,,
120,,9166.157741632847,935.7825692555248,7141.168513799507,,,,,,,,,
121,683.1194114236969,,,,,,,,,,,,
124,,9090.199410630039,875.438872371191,6847.656859059792,,,,,,,,,
128,,9014.241079627238,815.0951754868584,5487.697943182201,,,,,,,,,
132,670.4597066414822,,,,,,,,,,,,
135,,8881.31400037233,774.6063199417977,3107.769840396411,,,,,,,,,
139,,8805.355669369521,751.469831058906,2522.520348228146,,,,,,,,,
143,656.9180822597606,,,,,,,,,,,,
146,,8672.428590114614,728.4180115959192,1498.3337369336837,,,,,,,,,
150,,8596.470259111808,715.245543331355,1322.6333547193024,,,,,,,,,
154,644.7440474242281,,,,,,,,,,,,
157,,8463.543179856899,703.4275006032451,1015.1576858441357,,,,,,,,,
160,,8406.574431604791,698.3626251483406,965.3142045254884,,,,,,,,,
161,,8378.955074032752,696.6743333300394,948.699710752606,,,,,,,,,
165,635.2629918748385,,,,,,,,,,,,
168,,8185.619571028465,686.2599059688342,832.3982543424288,,,,,,,,,
172,,8075.142140740303,680.3088046195745,806.3361186253358,,,,,,,,,
176,627.615841459937,,,,,,,,,,,,
179,,7881.806637736014,671.666219275712,760.727381120423,,,,,,,,,
183,,7771.3292074478495,666.727599079219,746.6241838022876,,,,,,,,,
187,624.9516789084154,,,,,,,,,,,,
190,,7577.993704443564,660.4305817896089,721.9435884955509,,,,,,,,,
194,,7467.5162741554,656.8322861955459,713.0422649118234,,,,,,,,,
198,623.0230748733942,,,,,,,,,,,,
200,,7301.800128723149,650.4637003213394,699.6902795362316,,,,,,,,,
201,,7264.717943848682,649.4022693423049,697.4649486402997,,,,,,,,,
205,,7116.3892043508295,645.1565454261671,691.8421265275825,,,,,,,,,
209,620.715036948905,,,,,,,,,,,,
212,,6856.813910229579,638.8788930737398,682.0021878303276,,,,,,,,,
216,,6708.485170731719,635.2916631580672,677.6800214803179,,,,,,,,,
220,617.9267946726818,,,,,,,,,,,,
223,,6448.909876610468,631.6159011563277,670.1162303678007,,,,,,,,,
227,,6300.581137112608,629.5154657267622,666.7595018443635,,,,,,,,,
231,615.0576561325204,,,,,,,,,,,,
234,,6041.00584299136,626.4094055246574,660.885226928348,,,,,,,,,
238,,5892.677103493503,624.6345139805978,658.6973788206444,,,,,,,,,
240,,5818.512733744571,623.9538125055113,657.6034547667924,,,,,,,,,
242,613.3640643127329,,,,,,,,,,,,
245,,5602.6915320552835,622.252058817795,654.8686446321631,,,,,,,,,
249,,5430.034570703853,620.8906558676217,652.170593300158,,,,,,,,,
253,611.7495495811471,,,,,,,,,,,,
256,,5127.884888338853,619.3254257218821,647.4490034691491,,,,,,,,,
260,,4955.227926987424,618.4310084957448,645.0425867060738,,,,,,,,,
264,610.5697273805215,,,,,,,,,,,,
267,,4653.078244622421,616.7686027570035,640.8313573706921,,,,,,,,,
271,,4480.421283270992,615.8186566205801,639.335374616172,,,,,,,,,
275,609.6223506719866,,,,,,,,,,,,
278,,4178.271600905988,614.5100052056761,636.7174047957618,,,,,,,,,
280,,4091.9431202302735,614.136104801418,636.116899703242,4091.9431202302735,,,,,,,,
282,,4024.586937319541,613.7622043971593,635.516394610722,4065.8772256754664,,,,,,,,
286,608.6688632718729,,,,,,,,,,,,
289,,3788.8402971319783,612.8154832294911,633.4146267869025,3974.6465947336483,,,,,,,,
293,,3654.127931310511,612.274499705109,632.3616393805588,3922.5148056240355,,,,,,,,
297,607.6632394298521,,,,,,,,,,,,
300,,3418.3812911229475,611.4272132334486,630.5189114194573,3831.2841746822164,,,,,,,,
302,,3351.0251082122163,611.1851313844027,630.0151879464954,3805.2182801274093,,,,,,,,
304,,3283.6689253014815,610.9430495353569,629.5114644735336,3778.117566808035,,,,,,,,
308,606.6499471633853,,,,,,,,,,,,
311,,3047.922285113918,610.2414643021635,627.7484323181673,3683.2650701902203,,,,,,,,
313,,2980.566102203184,610.0410113783942,627.339615966103,3656.1643568708455,,,,,,,,
315,,2913.209919292453,609.8405584546249,626.930799614039,3610.2063717768506,,,,,,,,
319,605.7214738528207,,,,,,,,,,,,
320,,2744.819462015622,609.5021768007499,625.908758733878,3495.3114090418635,,,,,,,,
322,,2695.4677890642697,609.3668241392003,625.499942381814,3449.353423947869,,,,,,,,
324,,2646.1161161129153,609.2314714776503,625.1148270059933,3403.395438853876,,,,,,,,
326,,2596.764443161564,609.0961188161006,624.7297116301728,3111.5583495303636,,,,,,,,
330,605.064538465341,,,,,,,,,,,,
333,,2424.0335878318297,608.6041212779535,623.3818078148013,2090.128536898078,,,,,,,,
335,,2374.6819148804775,608.4635505527688,623.0873974029763,1798.2914475745672,,,,,,,,
337,,2325.330241929125,608.3229798275839,622.7929869911511,1666.9161077545737,,,,,,,,
341,604.5694747182926,,,,,,,,,,,,
344,,2152.59938659939,607.8770897721104,621.7625505497634,1207.1024183845948,,,,,,,,
346,,2103.247713648038,607.7496926134039,621.4515077235253,1075.7270785646015,,,,,,,,
348,,2053.8960406966853,607.6222954546973,621.1404648972872,1033.203969466336,,,,,,,,
352,603.9206080804511,,,,,,,,,,,,
355,,1881.1651853669505,607.3174531442103,620.0518150054543,884.3730876224089,,,,,,,,
357,,1831.8135124155992,607.2303553412138,619.7422160948446,841.8499785241435,,,,,,,,
359,,1782.4618394642455,607.1432575382178,619.432617184235,825.2382237056154,,,,,,,,
360,,1757.7860029885694,607.1022178533024,619.2778177289306,816.9323462963515,,,,,,,,
363,603.4471847733275,,,,,,,,,,,,
366,,1701.9889147845795,606.8559797438128,618.3490209971019,767.0970818407673,,,,,,,,
368,,1683.3898853832488,606.7739003739827,618.0374239965383,750.4853270222392,,,,,,,,
370,,1664.7908559819195,606.6918210041528,617.7258269959755,744.3709668495752,,,,,,,,
374,602.9702569719564,,,,,,,,,,,,
377,,1599.6942530772635,606.4456731652685,616.6352374940037,722.9707062452503,,,,,,,,
379,,1581.095223675933,606.3753452113018,616.373053058639,716.8563460725859,,,,,,,,
381,,1562.4961942746033,606.3050172573348,616.1108686232737,712.9964258627301,,,,,,,,
385,602.5925951657442,,,,,,,,,,,,
388,,1497.3995913699475,606.0663457179678,615.1932230994964,699.486705128234,,,,,,,,
390,,1478.8005619686176,605.9981538495772,615.0624634091787,695.6267849183778,,,,,,,,
392,,1460.2015325672878,605.9299619811868,614.9317037188613,692.8537758981005,,,,,,,,
396,602.2272206724177,,,,,,,,,,,,
399,,1395.1049296626315,605.7086406281379,614.4740448027493,683.1482443271293,,,,,,,,
400,,1385.8054149619668,605.6770232919879,614.4120130911975,681.7617398169905,,,,,,,,
401,,1380.7468838471075,605.6454059558381,614.3499813796451,680.3752353068516,,,,,,,,
403,,1370.6298216173889,605.5821712835383,614.2259179565406,678.1080163626589,,,,,,,,
407,601.8506138570704,,,,,,,,,,,,
