num_evaluations,bfgs_best,best_vanilla_cmaes,best_1,best_2,best_7,best_19,best_25,best_50,best_100,best_187,best_250,best_500,best_750
22,1869274143802657.2,,,,,,,,,,,,
33,6.15855381183245e+17,,,,,,,,,,,,
40,,7.619068677792579e+17,7.619068677792579e+17,,,,,,,,,,
44,6.15694892484178e+17,,,,,,,,,,,,
62,,7.218016044857413e+17,6.595785487673962e+17,,,,,,,,,,
66,6.155367928385714e+17,,,,,,,,,,,,
73,,6.816963411922245e+17,5.572712449460729e+17,,,,,,,,,,
77,6.153728080200687e+17,,,,,,,,,,,,
80,,6.41591077898708e+17,5.571306185041712e+17,6.41591077898708e+17,,,,,,,,,
84,,6.174904318424035e+17,5.569899920622696e+17,6.023689468945893e+17,,,,,,,,,
88,6.122889681992104e+17,,,,,,,,,,,,
99,6.092051372526451e+17,,,,,,,,,,,,
102,,5.93389785786099e+17,5.568555130761267e+17,5.631468158904706e+17,,,,,,,,,
106,,5.6928913972979437e+17,5.567210340899838e+17,5.239237630751804e+17,,,,,,,,,
110,6.061416846346193e+17,,,,,,,,,,,,
113,,5.451884936734897e+17,5.565865568378281e+17,4.8470071025989005e+17,,,,,,,,,
117,,5.2108784761718515e+17,5.564520795856723e+17,4.846148743424621e+17,,,,,,,,,
120,,4.9698720156088064e+17,5.5309599194680154e+17,4.845290384250339e+17,,,,,,,,,
121,5.90586442916427e+17,,,,,,,,,,,,
124,,4.677124325571666e+17,5.4973990430793075e+17,4.844432025076059e+17,,,,,,,,,
128,,4.384376635534526e+17,5.4638381666906e+17,4.8436244154528166e+17,,,,,,,,,
132,5.690605809298509e+17,,,,,,,,,,,,
139,,4.091628945497386e+17,5.430285726464488e+17,4.842816805829572e+17,,,,,,,,,
143,5.614373047031386e+17,,,,,,,,,,,,
146,,3.798881255460246e+17,5.3968176427162643e+17,4.8420091962063277e+17,,,,,,,,,
150,,3.5061335654231066e+17,5.3633495589680416e+17,4.841201600896387e+17,,,,,,,,,
154,5.6137473546296474e+17,,,,,,,,,,,,
157,,3.213385875385967e+17,5.3633495589680416e+17,4.840394005586444e+17,,,,,,,,,
160,,2.920638185348827e+17,5.3633495589680416e+17,4.8400462265810995e+17,,,,,,,,,
165,5.6137473116621434e+17,,,,,,,,,,,,
168,,2.5317713861520262e+17,5.3633495589680416e+17,4.8396984475757536e+17,,,,,,,,,
179,,2.142904586955226e+17,5.3633495589680416e+17,4.839357100647228e+17,,,,,,,,,
190,,1.7540377877584253e+17,5.3633495589680416e+17,4.839081399261908e+17,,,,,,,,,
200,,1.3651709885616248e+17,5.3633495589680416e+17,4.8390813992618944e+17,,,,,,,,,
223,,7.817766034308571e+16,5.3633495589680416e+17,4.8390813992618816e+17,,,,,,,,,
240,,1.9838221830008936e+16,5.3633495589680416e+17,4.8390813992618816e+17,,,,,,,,,
264,5.6001543160603494e+17,,,,,,,,,,,,
275,5.578842763419781e+17,,,,,,,,,,,,
280,,439165144102691.7,5.3633495589680416e+17,4.8390813992618816e+17,439165144102691.7,,,,,,,,
286,5.563429864170196e+17,,,,,,,,,,,,
297,5.55801115273131e+17,,,,,,,,,,,,
302,,293767608491114.4,5.3633495589680416e+17,4.8390813992618816e+17,439164499243676.0,,,,,,,,
308,5.555526468846947e+17,,,,,,,,,,,,
313,,148370072879537.12,5.3633495589680416e+17,4.8390813992618816e+17,439163938861945.7,,,,,,,,
320,,2972537267959.821,5.3633495589680416e+17,4.8390813992618816e+17,439163393316944.5,,,,,,,,
324,,2380754941021.422,5.3633495589680416e+17,4.8390813992618816e+17,439162847771943.25,,,,,,,,
335,,1788972614083.0222,5.3633495589680416e+17,4.8390813992618816e+17,439162690266883.4,,,,,,,,
346,,1197190287144.6235,5.3633495589680416e+17,4.8390813992618816e+17,439162532761823.5,,,,,,,,
357,,605407960206.2241,5.3633495589680416e+17,4.8390813992618816e+17,439162375256763.6,,,,,,,,
360,,13625633267.824982,5.3633495589680416e+17,4.8390813992618816e+17,439162374004521.0,,,,,,,,
368,,12052166459.80342,5.3633495589680416e+17,4.8390813992618816e+17,439162372752278.4,,,,,,,,
379,,10478699651.781858,5.3633495589680416e+17,4.8390813992618816e+17,439162371500035.6,,,,,,,,
390,,8905232843.760296,5.3633495589680416e+17,4.8390813992618816e+17,439162370253429.1,,,,,,,,
400,,7331766035.738736,5.3633495589680416e+17,4.8390813992618816e+17,439162369006822.6,,,,,,,,
401,,6078533938.273272,5.3633495589680416e+17,4.8390813992618816e+17,439162367760216.1,,,,,,,,
440,,4825301840.807807,5.3633495589680416e+17,4.8390813992618816e+17,439162367699269.1,,,,,,,,
445,,4123408319.2013674,5.3633495589680416e+17,4.8390813992618816e+17,439162367638322.2,,,,,,,,
480,,3421514797.594928,5.3633495589680416e+17,4.8390813992618816e+17,439162367638322.2,,,,,,,,
489,,2884813540.4730983,5.3633495589680416e+17,4.8390813992618816e+17,439162367638322.2,,,,,,,,
500,,2348112283.3512692,5.3633495589680416e+17,4.8390813992618816e+17,439162367638322.2,,,,,,,,
511,,1811411026.22944,5.3633495589680416e+17,4.8390813992618816e+17,439162367638322.2,,,,,,,,
520,,1274709769.1076112,5.3633495589680416e+17,4.8390813992618816e+17,315406562206924.56,,,,,,,,
522,,1091863288.4433014,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,,,,,,,,
560,,909016807.7789915,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,,,,,,,,
600,,714795175.0857402,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,,,,,,,,
640,,311811026.87810874,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,,,,,,,,
680,,133817611.95153868,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,,,,,,,,
720,,78632353.54315475,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,,,,,,,,
760,,78632353.54315475,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,78632353.54315475,,,,,,,
782,,76116809.15430982,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,50286986.599126205,,,,,,,
793,,73601264.76546487,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49337454.26808627,,,,,,,
800,,71085720.37661995,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49333161.50767896,,,,,,,
804,,70652194.79714257,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49328868.74727166,,,,,,,
815,,70218669.21766518,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49324827.53203989,,,,,,,
826,,69785143.63818781,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49322219.479862005,,,,,,,
837,,69351618.05871043,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49319727.94634394,,,,,,,
840,,68918092.47923306,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49317244.529460885,,,,,,,
848,,58409988.50518058,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49314761.11257782,,,,,,,
859,,47901884.53112809,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49282330.02182232,,,,,,,
870,,37393780.55707561,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49251890.38503275,,,,,,,
880,,26885676.58302314,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49220415.565386966,,,,,,,
881,,26137508.287471402,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49188940.74574119,,,,,,,
892,,25389339.99191967,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49157465.92609541,,,,,,,
903,,24641171.696367934,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49116214.325989224,,,,,,,
914,,23893003.4008162,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49074650.939384215,,,,,,,
920,,23144835.105264463,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,49033149.454695426,,,,,,,
925,,22185142.987170447,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48991647.970006645,,,,,,,
936,,21225450.869076427,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48989300.40964414,,,,,,,
947,,20265758.75098241,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48986952.84928163,,,,,,,
958,,19306066.63288839,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48985160.7356374,,,,,,,
960,,18346374.514794372,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48977858.71801549,,,,,,,
969,,14803339.88215009,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48970556.70039358,,,,,,,
980,,11260305.249505801,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48968148.10232152,,,,,,,
991,,7717270.616861517,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48966002.40781736,,,,,,,
1000,,4174235.984217229,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48965648.84787924,4174235.984217229,,,,,,
1002,,4063295.005029019,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48965295.28794111,3349326.4803703493,,,,,,
1013,,3952354.025840809,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48965085.45883131,2524416.9765234697,,,,,,
1022,,3841413.0466525992,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964973.98748536,1699507.4726765906,,,,,,
1024,,3730472.06746439,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964862.5161394,1464689.777909152,,,,,,
1033,,3619531.0882761804,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964844.63314327,1229872.0831417136,,,,,,
1035,,3508590.10908797,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964826.750147134,1226357.9814733588,,,,,,
1040,,3397649.129899761,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964804.12111519,1222843.879805004,,,,,,
1046,,3286295.318960381,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964781.49208326,1219329.7781366492,,,,,,
1055,,3174941.5080210017,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964774.25007862,1215815.6764682946,,,,,,
1057,,3063587.697081622,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964767.00807398,1214668.150853665,,,,,,
1068,,2952233.8861422422,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964759.41419374,1213520.6252390356,,,,,,
1077,,2840880.0752028627,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964750.91278239,1212373.0996244058,,,,,,
1079,,2729526.264263483,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964742.411371045,1208127.910827951,,,,,,
1080,,2618172.4533241037,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964738.16870987,1203882.722031496,,,,,,
1088,,2429230.414474937,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964733.92604869,1199637.5332350414,,,,,,
1090,,2240288.37562577,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964729.68338752,1190577.6014189424,,,,,,
1099,,2051346.3367766035,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964726.06745454,1181517.6696028435,,,,,,
1101,,1862404.297927437,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964722.45152156,1180858.0902238248,,,,,,
1110,,1673462.25907827,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964718.852076344,1180198.510844806,,,,,,
1112,,1484520.2202291032,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964715.252631135,1179538.918234823,,,,,,
1120,,1295578.1813799366,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964712.867989875,1178879.3256248399,,,,,,
1121,,1290025.4448659755,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964710.483348615,1178219.733014857,,,,,,
1123,,1284472.7083520144,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964708.09870736,1152838.2371847045,,,,,,
1134,,1278919.9718380533,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964703.853981204,1127456.741354552,,,,,,
1143,,1273367.235324092,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964699.43137199,1102075.2455243994,,,,,,
1145,,1267814.4988101309,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964695.00876276,1076693.7162506576,,,,,,
1154,,1262261.7622961698,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964684.602189116,1051312.1869769155,,,,,,
1156,,1256709.0257822087,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964674.19561547,998563.8837542424,,,,,,
1160,,1251156.2892682476,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964668.61214873,945815.5805315694,,,,,,
1165,,1217719.2612579693,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964663.028682,893067.2773088965,,,,,,
1167,,1184282.233247691,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964657.44521526,818214.1373411736,,,,,,
1176,,1150845.2052374126,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964646.83475692,743360.9973734508,,,,,,
1178,,1117408.1772271344,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964636.22429857,743308.146289959,,,,,,
1187,,1083971.149216856,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964625.61570685,743255.2952064673,,,,,,
1189,,1050534.1212065779,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964615.00711514,743029.1031190914,,,,,,
1198,,1017097.0931962995,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964597.101209946,742802.9110317153,,,,,,
1200,,983660.0651860212,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964579.19530475,742726.4233890317,,,,,,
1211,,979890.0157532335,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964561.22851239,742649.9357463479,,,,,,
1222,,976119.9663204458,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964543.40550619,742573.4481036642,,,,,,
1240,,972349.916887658,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964541.487251386,742496.9604609804,,,,,,
1242,,885730.7637459582,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964539.568996586,742420.4728182966,,,,,,
1244,,799111.6106042585,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964537.65074178,742400.9679491456,,,,,,
1255,,712492.4574625586,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964537.55366619,742381.4630799944,,,,,,
1264,,625873.3043208589,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964537.457640365,742361.9582108433,,,,,,
1266,,539254.1511791591,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964537.36161453,742331.2886086197,,,,,,
1275,,452634.9980374593,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964537.271552935,742300.6190063964,,,,,,
1277,,366015.84489575966,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964537.18149134,742269.9300112564,,,,,,
1280,,279396.69175405975,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964536.9739577,742239.2410161166,,,,,,
1286,,279396.69175405975,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964536.766424075,742208.5520209767,,,,,,
1288,,279396.69175405975,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964536.55889045,742177.2859100063,,,,,,
1297,,279396.69175405975,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964535.98145251,742146.0197990357,,,,,,
1299,,279396.69175405975,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964535.40401457,742102.013741058,,,,,,
1308,,279396.69175405975,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964534.623239696,742058.00768308,,,,,,
1310,,279396.69175405975,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.84246482,742012.8850669146,,,,,,
1319,,279396.69175405975,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.68155282,741967.7624507492,,,,,,
1320,,279396.69175405975,5.3633495589680416e+17,4.8390813992618816e+17,191650756775526.8,48964533.52064083,741903.9567015314,,,,,,
